Station code,Station name,srcStateName,Minimum temperature for ground water in celsius,Maximum temperature for ground water in celsius,Minimum potential of Hydrogen value in water,Maximum potential of Hydrogen value in water,Minimum Conductivity Level,Maximum Conductivity Level,Minimum Biochemical oxygen demand,Maximum Biochemical oxygen demand,Minimum  of Nitrate N + Nitrite N required required for ground water,Maximum  of Nitrate N + Nitrite N required required for ground water,Minimum  of Faecal Coliforms required for ground water,Maximum   of Faecal Coliforms required for ground water,Minimum  of total coliform required for ground water,Maximum  of total coliform required for ground water,srcYear,YearCode,Year
2759,DUGWELL AT GAGHWAL(KATHUA DISTT),JAMMU & KASHMIR,16,26,7,7.2,440,460,,,0.3,0.31,,,,,2017,2017,"Calendar Year (Jan - Dec), 2017"
2760,MALADHAR TALAB(POND)HATLI (KATHUA),JAMMU & KASHMIR,22,26,7.6,8.6,266,380,1.4,14,0.02,0.71,,,,,2017,2017,"Calendar Year (Jan - Dec), 2017"
2761,TUBE WELL KATHUA SICOP INDUSTRIAL AREA KATHUA,JAMMU & KASHMIR,16,24,7.2,7.5,140,200,,,0.01,0.82,,,,,2017,2017,"Calendar Year (Jan - Dec), 2017"
2762,"R.S. PURA TEHSIL, JAMMU",JAMMU & KASHMIR,20,22,8.6,8.6,1140,1920,15,32,0.2,0.43,,,,,2017,2017,"Calendar Year (Jan - Dec), 2017"
3288,GROUND WATER AT IQBAL PARK,JAMMU & KASHMIR,16,16,7.1,7.1,569,569,3,3,0,0,,,,,2017,2017,"Calendar Year (Jan - Dec), 2017"
3290,GROUND WATER AT ZANAKOT (I),JAMMU & KASHMIR,15,15,7.2,7.2,668,668,3.5,3.5,0,0,,,,,2017,2017,"Calendar Year (Jan - Dec), 2017"
3291,GROUND WATER AT ZANAKOT (II),JAMMU & KASHMIR,15,15,7.2,7.2,679,679,4.6,4.6,0,0,,,,,2017,2017,"Calendar Year (Jan - Dec), 2017"
3292,GROUND WATER AT SADAKADAL,JAMMU & KASHMIR,18,18,7.3,7.3,917,917,5,5,0,0,,,,,2017,2017,"Calendar Year (Jan - Dec), 2017"
3564,BOREWELL WATER NEAR MANGALIJYOTHI SCHOOL MSW SITE VAMMANJOOR,KARNATAKA,27,29,6.7,7.7,128,302,1,37,0.08,2.4,2,11,2,60,2017,2017,"Calendar Year (Jan - Dec), 2017"
19,"WELL AT ELOOR, KERALA",KERALA,27,27.8,5.7,5.8,100,135,1,1.4,0.54,1.48,100,350,1500,4800,2017,2017,"Calendar Year (Jan - Dec), 2017"
22,"WELL AT CHUNGAPALLY, KERALA",KERALA,28,28,6.5,8,130,141,0.5,1.1,0,2.5,30,280,40,350,2017,2017,"Calendar Year (Jan - Dec), 2017"
35,"WELL AT PUNALUR, KERALA",KERALA,24,27.5,6.3,6.8,231,240,1,2.2,0.12,0.89,10,40,40,120,2017,2017,"Calendar Year (Jan - Dec), 2017"
1581,"PAPPANAMKODE, THIRUVANANTHAPURAM, KERALA",KERALA,30,33,6,6.3,500,580,0.6,1.2,0,0,65,80,120,125,2017,2017,"Calendar Year (Jan - Dec), 2017"
1582,"NEDUMANGAD, THIRUVANANTHAPURAM, KERALA",KERALA,30,33,6.3,7,200,500,0.6,2,0,0,32,80,81,120,2017,2017,"Calendar Year (Jan - Dec), 2017"
1583,"KUNDARA, KOLLAM DISTT. , KERALA",KERALA,23,27.5,6.8,6.8,148,210,0.8,0.8,0.1,0.68,10,10,30,40,2017,2017,"Calendar Year (Jan - Dec), 2017"
1584,"CHERTHALA, ALLEPPY, KERALA",KERALA,29,29,7.3,7.8,248,428,1.2,3,0.08,0.15,0,200,2,400,2017,2017,"Calendar Year (Jan - Dec), 2017"
1585,"VYTTILA, ERNAKULAM DISTT. , KERALA",KERALA,28,30.1,7.1,7.4,315,560,2.3,2.4,0.35,5.9,700,1000,2800,4900,2017,2017,"Calendar Year (Jan - Dec), 2017"
1586,"EDAYAR ERNAKULAM DISTT., KERALA",KERALA,27,27.9,5.6,5.8,158,172,1.3,3,0.53,0.82,12,20,31,270,2017,2017,"Calendar Year (Jan - Dec), 2017"
1587,"KALAMASSERY ERNAKULAM DISTT. , KERALA",KERALA,27,28,5.6,6.2,294,327,1.4,3,0.57,6.46,20,350,79,540,2017,2017,"Calendar Year (Jan - Dec), 2017"
1588,"PUNKUNNAM TRISSUR DISTT. , KERALA",KERALA,30,30,7.2,8.2,299,360,0.3,0.7,2.1,3.1,20,220,190,350,2017,2017,"Calendar Year (Jan - Dec), 2017"
1589,"MALAPURAM , KERALA",KERALA,30.5,31.5,7.5,7.8,260,335,0.9,2.1,0.22,5.3,28,32,56,68,2017,2017,"Calendar Year (Jan - Dec), 2017"
1590,"MAVOOR, KOZHIKKODE DISTT. , KERALA",KERALA,27,29,6.6,7.9,83,126,0.5,0.5,2.4,3,52,100,58,190,2017,2017,"Calendar Year (Jan - Dec), 2017"
1591,"KANNUR (MUNICIPALITY) KANNUR DISTTM , KERALA",KERALA,27,27,3.9,5.4,98,100,0.8,1.2,1.99,3.91,12,480,750,2570,2017,2017,"Calendar Year (Jan - Dec), 2017"
1592,"PAYYANNUR, KANNUR DISTT. , KERALA",KERALA,28,29,5.6,6.7,272,340,0.4,1.3,1.87,5.86,0,350,2,550,2017,2017,"Calendar Year (Jan - Dec), 2017"
2308,FATHIMAPURAM (CHANGANASSERY),KERALA,27,28,6.2,6.2,142,213,0.1,0.3,1.07,5.22,200,400,1000,1100,2017,2017,"Calendar Year (Jan - Dec), 2017"
2309,KAROOR (PALA),KERALA,27,27.5,5.6,6.2,56,84,0.2,1.2,0.05,3.81,0,800,100,2000,2017,2017,"Calendar Year (Jan - Dec), 2017"
2310,VAIKOM,KERALA,28,29,6.5,7.9,202,204,0.4,3.5,2.08,3.13,0,0,2,2,2017,2017,"Calendar Year (Jan - Dec), 2017"
2311,VADAVATHOOR (KOTTAYAM),KERALA,27,28,5.8,5.9,103,224,0.3,3.2,1.11,3.54,200,400,800,1000,2017,2017,"Calendar Year (Jan - Dec), 2017"
2313,"SARVODAPURAM, ALAPPUZHA",KERALA,29,29,7.2,7.7,450,750,0.9,2.1,0.09,0.15,0,300,2,540,2017,2017,"Calendar Year (Jan - Dec), 2017"
2314,KUREEPUZHA (KOLLAM),KERALA,24,28,6.3,7.6,158,269,1.3,2.7,0.09,0.92,60,120,150,380,2017,2017,"Calendar Year (Jan - Dec), 2017"
2315,K.M.M.L. (KOLLAM),KERALA,24,27.5,8,8.1,380,600,1.1,3.4,0.02,1.1,30,160,80,500,2017,2017,"Calendar Year (Jan - Dec), 2017"
2316,CHELLORA TRENCHING GROUND (KANNUR),KERALA,27,28,3.7,5.7,36,183,1.2,1.3,0.03,1.46,12,480,130,540,2017,2017,"Calendar Year (Jan - Dec), 2017"
2317,PUNNALPETTIPPALAM (TELLICHERRY MUNICIPALITY,KERALA,27,28,5.6,6.1,100,411,0.2,1.3,0.24,13.09,72,90,130,820,2017,2017,"Calendar Year (Jan - Dec), 2017"
2320,MANJERI,KERALA,30,31.5,6.5,7.2,170,207,2.7,4.5,0.15,1.8,20,24,38,48,2017,2017,"Calendar Year (Jan - Dec), 2017"
2321,LALOOR (THRISSUR),KERALA,29,30,6.3,7.4,101,252,1.1,1.5,1.4,4.3,180,200,320,600,2017,2017,"Calendar Year (Jan - Dec), 2017"
2322,OLLUR (THRISSUR),KERALA,30,30,5.5,6.6,227,290,0.5,2.6,3,5.8,10,120,280,450,2017,2017,"Calendar Year (Jan - Dec), 2017"
2323,BRAHMAPURAM M.S.W. DUMPARK (ERNAKULAM),KERALA,26,27.1,6.1,6.2,275,300,1.5,3.2,0.58,2.04,200,540,1300,2200,2017,2017,"Calendar Year (Jan - Dec), 2017"
2324,HAZARDOUS WASTE DUMP (AMBALAMUGHAL),KERALA,29.8,31,6,6.7,135,215,1.3,1.4,0.4,5.31,0,40,12,790,2017,2017,"Calendar Year (Jan - Dec), 2017"
2327,KARUKAMANI,KERALA,29,29,7.6,8,780,795,0.8,2.4,0,0.7,278,290,410,420,2017,2017,"Calendar Year (Jan - Dec), 2017"
3463,"WELL AT VELLIPARAMBA, KOZHEKODE",KERALA,27,27,6.7,7.5,120,127,0.5,1,0.73,2.1,30,730,38,1400,2017,2017,"Calendar Year (Jan - Dec), 2017"
3472,"WELL OF TEMPLE PARASSINIKADAVU, KANNUR",KERALA,27,27,7.1,7.1,575,968,0.5,2.7,2.15,2.7,32,250,320,450,2017,2017,"Calendar Year (Jan - Dec), 2017"
3474,"WELL AT PAYANOOR, KANNUR",KERALA,27,28,6.8,7.1,190,245,0.3,0.5,0.8,1.73,172,250,320,670,2017,2017,"Calendar Year (Jan - Dec), 2017"
3475,"WELL AT KARIMBAM, KANNUR",KERALA,26,27,4.2,6.3,53,153,0.9,1.3,1.05,6.08,4,70,40,80,2017,2017,"Calendar Year (Jan - Dec), 2017"
1402,WELL NEAR PWD ADJACENT TO CHAKIKILUM IN KAVARATTI,LAKSHADWEEP,30.3,30.6,7,7.4,939,1232,,,,,,,,,2017,2017,"Calendar Year (Jan - Dec), 2017"
1593,WELL NEAR J.B SCHOOL,LAKSHADWEEP,30,30.8,6.9,7.4,1199,1326,,,,,,,,,2017,2017,"Calendar Year (Jan - Dec), 2017"
1594,WELL NEAR OTTAVATHIL PALLI,LAKSHADWEEP,29.7,31,7,7.1,2646,3200,,,,,,,,,2017,2017,"Calendar Year (Jan - Dec), 2017"
1595,WELL NEAR CHEKKILLAM HOUSE,LAKSHADWEEP,30.6,30.8,7,7.5,939,998,,,,,,,,,2017,2017,"Calendar Year (Jan - Dec), 2017"
1596,WELL C/O KADAT PALLI,LAKSHADWEEP,29.7,30.5,7,7.1,1893,3380,,,,,,,,,2017,2017,"Calendar Year (Jan - Dec), 2017"
1597,WELL NEAR BADER PALLI,LAKSHADWEEP,29.9,31,7.1,7.5,679,689,,,,,,,,,2017,2017,"Calendar Year (Jan - Dec), 2017"
1598,WELL C/O PUTHIYA PALLI,LAKSHADWEEP,29.8,31.2,7.2,7.6,585,755,,,,,,,,,2017,2017,"Calendar Year (Jan - Dec), 2017"
1603,"WELL C/O OLD POLICE BARRACKS,",LAKSHADWEEP,29.7,31.1,6.9,7.2,2070,7050,,,,,,,,,2017,2017,"Calendar Year (Jan - Dec), 2017"
1604,WELL C/O MPSAF QUARTER,LAKSHADWEEP,30.4,31.5,6.8,7,5087,7750,,,,,,,,,2017,2017,"Calendar Year (Jan - Dec), 2017"
1605,WELL NEAR HALIPAD,LAKSHADWEEP,29.8,31.2,7.1,7.4,1584,2200,,,,,,,,,2017,2017,"Calendar Year (Jan - Dec), 2017"
1606,"PUBLIC WELL OPPOSITE S.B.SCHOOL, LAKSHDWEEP",LAKSHADWEEP,30.4,31.4,7.2,7.6,658,877,,,,,,,,,2017,2017,"Calendar Year (Jan - Dec), 2017"
52,"WELL, SHRI RAO PRAJAPATI WELL , M. P.",MADHYA PRADESH,22.5,31,7.4,8.7,92,454,0.8,1.4,0,0.9,1,2,30,40,2017,2017,"Calendar Year (Jan - Dec), 2017"
1616,"OPEN WELL/TUBE WELL INDUSTRIAL AREA, GOVINDPURA, BHOPAL, M.P",MADHYA PRADESH,6,6,7.9,7.9,278,278,1.3,1.3,0,0,2,2,,,2017,2017,"Calendar Year (Jan - Dec), 2017"
1617,"OPEN WELL/TUBE WELL INDUSTRIAL AREA MANDIDEEP, DISTT. RAISEN, M.P",MADHYA PRADESH,28,28,6.7,7.5,342,384,0.9,0.9,0,0,2,2,130,130,2017,2017,"Calendar Year (Jan - Dec), 2017"
1618,"GROUND WATER SAMPLING AT TWO POINTS IN INDUSTRIAL AREA MALANPUR, M.P",MADHYA PRADESH,24,26,7.2,7.6,700,785,1.2,1.4,0,1.38,,,33,34,2017,2017,"Calendar Year (Jan - Dec), 2017"
1619,"GROUND WATER SAMPLING AT TWO POINTS IN INDUSTRIAL AREA MALANPUR, M.P",MADHYA PRADESH,24,26,7.5,7.7,675,880,1.2,1.3,0,1.4,,,22,34,2017,2017,"Calendar Year (Jan - Dec), 2017"
1897,"TUBE WELL AT JAINABAD, NEAR TAPTI RIVER BRIDGE, PUMPING STN. BURHANPUR, M.P.",MADHYA PRADESH,23,29,7.2,7.5,698,986,0.6,7.7,0,2.68,1,1,4,7,2017,2017,"Calendar Year (Jan - Dec), 2017"
2143,"KATHODA, JABALPUR",MADHYA PRADESH,18,19,7.7,8.3,386,450,1.2,1.2,0.2,0.8,2,2,2,2,2017,2017,"Calendar Year (Jan - Dec), 2017"
2144,"MADAI GRAM, JABALPUR",MADHYA PRADESH,17,19,7.7,8.4,416,435,1.1,1.1,0.2,0.5,2,2,2,2,2017,2017,"Calendar Year (Jan - Dec), 2017"
2145,"MEHATWAS, NAGDA",MADHYA PRADESH,,,7.9,7.9,1523,2462,1.4,2,5.28,6.17,,,,,2017,2017,"Calendar Year (Jan - Dec), 2017"
2146,"BHAGATPURI VILLAGE, NAGDA",MADHYA PRADESH,27,27,7.8,8.2,2068,2173,1.8,2.8,3.69,8.15,,,,,2017,2017,"Calendar Year (Jan - Dec), 2017"
2148,"DOSIGAON, RATLAM",MADHYA PRADESH,,,7.3,7.4,2174,3532,1.8,3.2,7.63,8.27,7,7,90,90,2017,2017,"Calendar Year (Jan - Dec), 2017"
2149,"CULVERT ON A.B. ROAD, MAKSI",MADHYA PRADESH,,,7.8,7.8,1514,1514,2,2,2.26,2.26,,,,,2017,2017,"Calendar Year (Jan - Dec), 2017"
2150,"TRENCHING GROUND, NEAR GARDEN, DEV GURADIYA ROAD, INDORE",MADHYA PRADESH,23,29,7.4,7.6,1135,4581,0.8,1.5,0,8.13,1,1,4,6,2017,2017,"Calendar Year (Jan - Dec), 2017"
2151,"TRENCHING GROUND IN THE PREMISES OF M/S RISHABH MASALA UDYOG, INDORE",MADHYA PRADESH,23,29,7.2,7.4,2778,4581,1.5,2.8,0,9.48,1,1,6,12,2017,2017,"Calendar Year (Jan - Dec), 2017"
2152,"TRENCHING GROUND IN THE PREMISES OF M/S LAKHANI FOOT WEAR, INDORE",MADHYA PRADESH,23,29,7.4,7.8,1290,3076,0.8,1.6,0,7.86,1,1,4,7,2017,2017,"Calendar Year (Jan - Dec), 2017"
2153,"IBRAHIMGANJ NEAR BUS STAND, BHOPAL",MADHYA PRADESH,26,26,7.8,7.8,338,338,1.2,1.2,0,0,2,2,90,90,2017,2017,"Calendar Year (Jan - Dec), 2017"
2154,"NEAR PRIMARY SCHOOL, PILUKHEDI, RAJGARH.",MADHYA PRADESH,21,27,8,8.6,1612,1800,2,2.8,0,0,,,,,2017,2017,"Calendar Year (Jan - Dec), 2017"
3333,"HAND PUMP WATER AT BANSKHEDI, BHOPAL",MADHYA PRADESH,26,26,7.9,7.9,282,282,1.4,1.4,0,0,2,2,90,90,2017,2017,"Calendar Year (Jan - Dec), 2017"
3334,TUBE WELL NEAR BUS STAND AT BETUL,MADHYA PRADESH,25,26,7.6,7.7,312,338,1.2,1.4,0,19.2,2,2,110,110,2017,2017,"Calendar Year (Jan - Dec), 2017"
3335,"TUBE WELL/ HAND PUMP AT INDUSTRIAL AREA RECHHAI, JABALPUR",MADHYA PRADESH,18,18,7.5,7.5,432,460,1.2,1.2,0.1,0.7,2,2,2,2,2017,2017,"Calendar Year (Jan - Dec), 2017"
3336,"TUBE WELL/ HAND PUMP AT INDUSTRIAL AREA, CHHINDWAR",MADHYA PRADESH,30,30,8.2,8.2,,,1.2,1.2,0.8,0.8,3,3,11,11,2017,2017,"Calendar Year (Jan - Dec), 2017"
3336,"TUBE WELL/ HAND PUMP AT INDUSTRIAL AREA, CHHINDWARA",MADHYA PRADESH,20,36,7.4,8.2,639,860,1.2,3.2,2,2.6,2,15,11,43,2017,2017,"Calendar Year (Jan - Dec), 2017"
3337,TUBE WELL/ HAND PUMP AT INDL AREA SEONI NEAR BARAPATTHAR,MADHYA PRADESH,19,19,7.6,8.6,363,441,0.8,0.8,0.1,0.63,2,2,2,2,2017,2017,"Calendar Year (Jan - Dec), 2017"
3338,"HAND PUMP NEAR PANCHAYAT BHAWAN, VILLAGE TINAWALI RAIRU",MADHYA PRADESH,24,32,7.2,7.5,580,630,1.1,1.2,1.2,1.32,2,2,13,34,2017,2017,"Calendar Year (Jan - Dec), 2017"
3339,"TUBE WELL/ HAND PUMP NEAR MANGLIA INDUSTRIAL AREA , INDORE",MADHYA PRADESH,21,31,6.9,7.4,1321,2510,0,1,0,10.01,1,2,3,50,2017,2017,"Calendar Year (Jan - Dec), 2017"
3340,"TUBE WELL AT NEAR TRENCHING GROUND, INDORE",MADHYA PRADESH,23,29,7.3,8.6,619,2090,0.6,0.8,0,10.65,1,1,5,8,2017,2017,"Calendar Year (Jan - Dec), 2017"
3341,"TUBE WELL AT SECTOR-III, PITHAMPUR INDUSTRIAL AREA",MADHYA PRADESH,24,24,7.7,7.7,2012,2012,0.7,0.7,0,3.03,1,1,4,4,2017,2017,"Calendar Year (Jan - Dec), 2017"
3342,"BOREWELL WATER AT VILLAGE TARPUR, SECTOR-II, PITHAMPUR, IDUSTRIAL AREA",MADHYA PRADESH,24,24,7.3,8,378,534,0.8,0.8,0,2.01,1,1,4,4,2017,2017,"Calendar Year (Jan - Dec), 2017"
3343,"TUBE WELL NEAR INDUSTRIAL AREA UDYOG VIHAR , CHURAT, REWA",MADHYA PRADESH,30,30,7.1,7.1,1,1,1.1,1.1,2.69,5.7,2,2,4,6,2017,2017,"Calendar Year (Jan - Dec), 2017"
3344,"TUBEWELL AT INDL AREA, SHAHDOL",MADHYA PRADESH,20.2,35,8,8.2,522,1214,0.3,0.5,1.2,2.4,2,2,2,2,2017,2017,"Calendar Year (Jan - Dec), 2017"
3345,"TUBEWELL AT INDL AREA, ANUPPUR",MADHYA PRADESH,28,29,7.9,8.1,461,683,0.1,0.4,0,1.24,2,2,2,2,2017,2017,"Calendar Year (Jan - Dec), 2017"
3822,"GROUND WATER NEAR BUS STAND, DIST NARSINGPUR",MADHYA PRADESH,19,20,7.2,7.4,374,1047,0.6,0.6,0.1,0.1,2,2,4,4,2017,2017,"Calendar Year (Jan - Dec), 2017"
3823,"GROUND WATER NEAR BUS STAND, DIST BALAGHAT",MADHYA PRADESH,18,19,7.3,7.4,526,536,0.2,0.2,0.1,0.7,2,2,2,2,2017,2017,"Calendar Year (Jan - Dec), 2017"
3824,"GROUND WATER VILL BHEEMJORI, MALAJKH, DIST BALAGHAT",MADHYA PRADESH,19,19,7.2,7.7,374,463,0.1,0.1,0.1,0.2,2,2,2,2,2017,2017,"Calendar Year (Jan - Dec), 2017"
2897,"BOREWELL AT KAMDI BAZAR, PEREN",NAGALAND,25,28.1,6.5,8,200,236,,,0,0.05,,,,,2017,2017,"Calendar Year (Jan - Dec), 2017"
3825,"GROUND WATER NEAR BUS STAND, DIST MANDLA",MADHYA PRADESH,19,19,7.5,8.2,329,426,0.1,0.1,0.1,0.8,2,2,2,2,2017,2017,"Calendar Year (Jan - Dec), 2017"
3826,"GROUND WATER NEAR BUS STAND, DIST SEONI",MADHYA PRADESH,18,18,7.6,8.3,343,448,0.1,0.1,0.1,0.76,2,2,2,2,2017,2017,"Calendar Year (Jan - Dec), 2017"
3827,"GROUND WATER VILL IMALIA, DIST JABALPUR",MADHYA PRADESH,19,20,8.1,8.1,311,419,0.3,0.3,0.1,0.84,2,2,2,2,2017,2017,"Calendar Year (Jan - Dec), 2017"
3837,"GROUND WATER PRIMARY SCHOOL DHOBI GHAT, DIST SINGROULI",MADHYA PRADESH,20,20,7.4,7.6,281,410,1.1,1.4,0.84,2.14,2,2,2,2,2017,2017,"Calendar Year (Jan - Dec), 2017"
3838,"GROUND WATER NCL, JINGURDHA, QSHF- 176 METENCE OFF, DIST SINGROULI",MADHYA PRADESH,20,22,7.6,7.7,276,378,1.1,1.7,0.06,0.84,2,2,2,2,2017,2017,"Calendar Year (Jan - Dec), 2017"
3839,"GROUND WATER NEAR SHIV MANDIR, AMLORI NCL, PROJECT SINGROULI",MADHYA PRADESH,19,22,7.4,7.5,274,386,1.1,1.7,0.86,1.43,2,2,2,2,2017,2017,"Calendar Year (Jan - Dec), 2017"
3840,"GROUND WATER NEAR SUBJEE MANDI NCL JAYANT (BESIDE POLICE STATION), SINGROULI",MADHYA PRADESH,18,22,7.6,7.6,282,348,1.2,1.4,0.09,0.86,2,2,2,2,2017,2017,"Calendar Year (Jan - Dec), 2017"
3841,"GROUND WATER SARVESWAR RAJA COLONY JAYANT, SINGROULI",MADHYA PRADESH,19,22,7.4,7.6,278,386,1.2,1.4,0.84,1.18,2,2,2,2,2017,2017,"Calendar Year (Jan - Dec), 2017"
3842,"GROUND WATER NEAR SUB STATION SECTOR-B, DUDHICHUA NCL PROJECT, SINGROULI",MADHYA PRADESH,18,21,7.5,7.6,387,476,1,1.6,0.05,0.86,2,2,2,2,2017,2017,"Calendar Year (Jan - Dec), 2017"
3843,"GROUND WATER NEAR ENTRANCE GAGE OF VIVEKANANAD STATUE, NIGAHI, SINGROULI",MADHYA PRADESH,19,23,7.4,7.5,365,394,1,1.7,0.84,1.02,2,2,2,2,2017,2017,"Calendar Year (Jan - Dec), 2017"
3844,"GROUND WATER NEAR COMMERCIAL AUTO MOBILE NEAR BHARAT PETROL PUMP, VINDHYA NAGAR, SINGROULI",MADHYA PRADESH,19,22,7.4,7.6,275,387,1.2,1.7,0.55,0.86,2,2,2,2,2017,2017,"Calendar Year (Jan - Dec), 2017"
3854,TUBE WELL WATER SAMPLE OF SIDHI CITY,MADHYA PRADESH,28.5,30,7.1,7.4,0,1,0.8,1,5.2,6.36,2,2,4,6,2017,2017,"Calendar Year (Jan - Dec), 2017"
1985,MIRA-BHAYANDER,MAHARASHTRA,28,33,7.6,7.8,2774,5760,3,5,0.4,1.3,17,17,46,130,2017,2017,"Calendar Year (Jan - Dec), 2017"
1986,DAHANU,MAHARASHTRA,30,30,7.1,7.1,735,735,3,3,0.5,0.5,22,22,120,120,2017,2017,"Calendar Year (Jan - Dec), 2017"
1987,VASAI,MAHARASHTRA,28,33,7,7.4,2182,2680,3.2,3.4,0.6,1.6,11,26,31,70,2017,2017,"Calendar Year (Jan - Dec), 2017"
1988,PALGHAR,MAHARASHTRA,30,30,7,7,1648,1648,3.2,3.2,1.7,1.7,63,63,140,140,2017,2017,"Calendar Year (Jan - Dec), 2017"
1989,"MSW SITE, TALOJA, RAIGAD",MAHARASHTRA,28,28,7.1,7.1,1133,1133,4,4,0.9,0.9,11,11,70,70,2017,2017,"Calendar Year (Jan - Dec), 2017"
1992,"MSW SITE, PIMPRI-CHINCHWAD, PUNE",MAHARASHTRA,27,30,7.8,8,1010,1591,4.2,6,1.7,3.9,20,20,200,200,2017,2017,"Calendar Year (Jan - Dec), 2017"
1993,"PHANDARPUR, GANGAPUR, AURANGABAD",MAHARASHTRA,24,24,8.2,8.2,1320,1320,3.2,3.2,0.98,0.98,2,2,110,110,2017,2017,"Calendar Year (Jan - Dec), 2017"
1994,"TPS-DURGAPUR, CHANDRAPUR",MAHARASHTRA,26,26,8.2,8.2,1192,1192,4.8,4.8,0.46,0.46,,,,,2017,2017,"Calendar Year (Jan - Dec), 2017"
1995,"KHAPERKHEDA, NAGPUR",MAHARASHTRA,27,29,7.5,8.5,950,998,3.2,5,0.22,4.4,49,49,130,130,2017,2017,"Calendar Year (Jan - Dec), 2017"
1996,"KORADI, NAGPUR",MAHARASHTRA,27,29,7.4,8.4,1002,1166,5.8,7,0.3,3.8,17,17,70,70,2017,2017,"Calendar Year (Jan - Dec), 2017"
1997,"RAIPUR, NAGPUR",MAHARASHTRA,32,42,7.6,8,316,980,3.8,5.2,0.22,0.4,,,,,2017,2017,"Calendar Year (Jan - Dec), 2017"
1998,"BHAHMNI, KALMESHWAR, NAGPUR",MAHARASHTRA,27,29,7.1,8.4,982,2558,3,3.8,0.36,0.36,31,31,58,58,2017,2017,"Calendar Year (Jan - Dec), 2017"
1999,SANGERA GONDIA,MAHARASHTRA,32,32,7.7,8.2,640,1080,3.1,3.2,0.3,0.33,,,,,2017,2017,"Calendar Year (Jan - Dec), 2017"
2001,"SUKALI, AMRAVATI",MAHARASHTRA,23,26,7.9,7.9,654,1636,4.6,5.4,0.72,4.5,13,23,58,79,2017,2017,"Calendar Year (Jan - Dec), 2017"
2002,"AKOT, AKOLA",MAHARASHTRA,23.5,31,7.3,8,656,1602,3,4.2,0.22,0.33,17,17,94,94,2017,2017,"Calendar Year (Jan - Dec), 2017"
2003,"SAWARGAON, YAVATMAL",MAHARASHTRA,27,27,8.3,8.3,1022,1022,3,3,0.32,0.32,,,,,2017,2017,"Calendar Year (Jan - Dec), 2017"
2004,"PARVATI INDL. ESTATE, YADRAV, SHIROL",MAHARASHTRA,,,7.4,7.6,1395,1607,3.2,3.4,1.12,1.58,8,8,23,23,2017,2017,"Calendar Year (Jan - Dec), 2017"
2005,"KHANJIRENAGAR, ICHALKARANJI",MAHARASHTRA,,,7.2,7.4,789,1555,3,3.2,1.1,1.41,21,21,84,84,2017,2017,"Calendar Year (Jan - Dec), 2017"
2006,"MIDC, SHINOLI, CHENDGAD",MAHARASHTRA,,,7.5,7.8,296,670,2,3,0.48,1.15,13,13,46,46,2017,2017,"Calendar Year (Jan - Dec), 2017"
2007,"SAVALI, SANGLI",MAHARASHTRA,20,21,7.2,7.3,1787,2686,2.4,3.4,1.07,1.4,8,8,23,23,2017,2017,"Calendar Year (Jan - Dec), 2017"
2008,"RASULWADI-SAMBARWADI, SANGLI",MAHARASHTRA,21,21,7.5,7.6,2389,2584,2.6,3.2,0.94,2.11,4,4,31,31,2017,2017,"Calendar Year (Jan - Dec), 2017"
2200,"BORE WELL AT KATPUR, NEAR Z.P SCHOOL.",MAHARASHTRA,23,24,8,8.5,489,1265,3,4,0.2,0.9,2,4,140,170,2017,2017,"Calendar Year (Jan - Dec), 2017"
2202,"DUG WELL AT GHANE KUNT, NEAR AWASTHI, OWNED BY SHRI RAJENDRA AMRE",MAHARASHTRA,23,24,7.2,7.5,79,480,2.4,2.4,0.46,0.62,4,4,13,13,2017,2017,"Calendar Year (Jan - Dec), 2017"
2203,HAND PUMP IN THE PREMISES OF ZILLA PARISHAD PRIMARY SCHOOL,MAHARASHTRA,32,42.2,6.9,8,315,1210,4.2,5.4,0.42,0.43,,,,,2017,2017,"Calendar Year (Jan - Dec), 2017"
2819,"DUG WELL OWNED BY SHRI DESHMUKH, MALEGAON, BARAMATI, PUNE",MAHARASHTRA,27,30,7.6,7.7,1990,4995,4.8,7,1.6,21,25,250,225,1800,2017,2017,"Calendar Year (Jan - Dec), 2017"
2820,"DUG WELL OWNED BY SHRI SHIVAJI BABAN DAREKAR, SANASWADI, SHIRUR, PUNE",MAHARASHTRA,26,30,7.8,8.2,695,2011,5.4,6,1.5,4.5,40,40,350,350,2017,2017,"Calendar Year (Jan - Dec), 2017"
3450,"GROUND WATER AT SIDCUL INDUSTRIAL AREA- 1, ROSHANABAD COLLECTORATE, HARIDWAR",UTTARAKHAND,17,18,7,7.5,422,486,,,,,2,2,,,2019,2019,"Calendar Year (Jan - Dec), 2019"
2821,"BORE WELL AT BALE RAILWAY STATION PREMISES OWNED BY SHRI DIGAMBAR JOSHI, DAHEGAON, NORTH SOLAPUR",MAHARASHTRA,26,30,7.6,7.8,93,775,5.5,8.8,0.2,4,17,45,130,550,2017,2017,"Calendar Year (Jan - Dec), 2017"
2822,"BORE WELL NEAR CHINCHOLI, MOHOL, SOLAPUR",MAHARASHTRA,28,30,7.5,7.9,2550,5107,6,9.5,4.7,7.4,20,40,140,425,2017,2017,"Calendar Year (Jan - Dec), 2017"
